name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,severerisk,soilmoisture04,soilmoisture10,windspeed50,conditions,description,icon,stations,source,windspeed,uvindex,soilmoisture01
india,2025-05-01,99.4,80.6,89.9,106.3,83.3,93.1,66.5,47.3,0.0,0,0.0,,6.2,2.4,287.7,24.7,5.0,2.1,2.9,17.0,Clear,Clear conditions throughout the day.,clear-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-05-02,87.8,68.0,77.7,90.0,68.0,78.7,66.7,70.8,0.276,100,12.5,rain,66.6,2.1,273.3,23.6,10.0,2.2,2.9,17.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"INI0000VIDP,42182099999,INI0000VIDD,42176099999,VIDP,42139099999,42181099999",obs,,,
india,2025-05-03,93.2,73.0,82.7,97.8,73.0,84.3,67.7,63.9,0.0,0,0.0,rain,54.4,2.2,292.7,25.0,30.0,2.2,2.9,16.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-05-04,95.5,77.6,86.5,100.9,77.6,88.5,66.5,53.9,0.0,0,0.0,,62.2,2.0,276.5,23.7,10.0,2.2,2.9,14.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-05-05,89.1,75.0,81.8,92.6,75.0,83.1,64.7,56.9,0.016,100,4.17,rain,65.4,2.7,257.5,22.4,10.0,2.2,2.9,17.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-05-06,94.9,74.0,84.2,97.4,74.0,85.0,64.8,55.0,0.0,0,0.0,,42.9,2.4,279.0,24.0,10.0,2.3,2.8,15.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-05-07,96.3,78.3,84.7,100.4,78.3,86.9,67.4,57.5,0.0,0,0.0,,65.0,2.6,262.4,22.6,10.0,2.3,2.9,13.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-05-08,96.8,77.2,87.1,101.6,77.2,89.8,67.4,54.2,0.002,100,4.17,rain,64.4,2.4,262.3,22.7,10.0,2.3,2.9,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-05-09,96.5,79.7,87.7,102.7,79.7,91.3,68.1,53.9,0.027,100,4.17,rain,45.8,2.6,274.4,23.5,10.0,2.3,2.9,17.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-05-10,95.2,80.1,85.6,101.9,83.9,90.3,70.3,61.3,0.458,100,4.17,rain,49.1,1.5,263.9,22.7,10.0,2.3,2.8,10.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
